STATION,DATE,LATITUDE,LONGITUDE,AIR_TEMP,SEA_SURF_TEMP
6584,1864-01-24T06:00:00,18.57,-81.53,,79.2
6584,1864-01-24T16:00:00,18.23,-82.35,,79.2
6584,1864-01-24T18:00:00,18.15,-82.43,,80.4
6584,1864-01-25T00:00:00,17.9,-82.73,,80.4
6584,1864-01-25T02:00:00,17.87,-82.87,,78.1
6584,1864-01-25T04:00:00,17.82,-82.98,,79.2
6584,1864-01-25T12:00:00,17.65,-83.5,,79.2
6584,1864-01-25T14:00:00,17.6,-84.02,,81.5
6584,1864-01-25T16:00:00,17.55,-84.52,,82.6
6584,1864-01-25T18:00:00,17.5,-85.03,,
6584,1864-01-25T22:00:00,17.38,-85.55,,
6584,1864-01-26T06:00:00,17.17,-86.57,,82.6
6584,1864-01-26T09:00:00,17.08,-86.95,,81.5
6584,1864-01-26T14:00:00,17.05,-87.47,,81.5
6584,1864-01-26T18:00:00,17.17,-87.7,,81.5
6584,1864-01-27T09:00:00,18.07,-88.12,,82.6
6584,1864-01-27T12:00:00,18.3,-88.12,,82.6
6584,1864-01-27T14:00:00,17.9,-88.13,,81.5
6584,1864-02-03T09:00:00,17.42,-87.97,,80.4
6584,1864-02-03T10:00:00,17.48,-87.92,,80.4
6584,1864-02-03T12:00:00,17.62,-87.83,,80.4
6584,1864-02-03T14:00:00,17.82,-87.78,,80.4
6584,1864-02-03T15:00:00,17.92,-87.67,,80.4
6584,1864-02-03T16:00:00,18,-87.57,,80.4
6584,1864-02-03T18:00:00,18.17,-87.35,,80.4
6584,1864-02-03T20:00:00,18.33,-87.13,,80.4
6584,1864-02-03T22:00:00,18.5,-87.08,,80.4
6584,1864-02-04T00:00:00,18.67,-87.03,,79.2
6584,1864-02-04T02:00:00,18.92,-86.63,,79.2
6584,1864-02-04T04:00:00,19.17,-86.25,,79.2
6584,1864-02-04T06:00:00,19.28,-86.28,,79.2
6584,1864-02-04T08:00:00,19.4,-86.32,,79.2
6584,1864-02-04T09:00:00,19.47,-86.33,,79.2
6584,1864-02-04T10:00:00,19.68,-86.48,,79.2
6584,1864-02-04T12:00:00,19.8,-85.88,,79.2
6584,1864-02-04T14:00:00,19.98,-85.92,,79.2
6584,1864-02-04T15:00:00,20.07,-85.93,,79.2
6584,1864-02-04T16:00:00,20.15,-85.95,,79.2
6584,1864-02-04T18:00:00,20.33,-85.98,,79.2
6584,1864-02-04T20:00:00,20.5,-85.83,,79.2
6584,1864-02-04T22:00:00,20.65,-85.7,,79.2
6584,1864-02-05T02:00:00,21,-85.4,,77
6584,1864-02-05T04:00:00,21.17,-85.27,,77
6584,1864-02-05T06:00:00,21.45,-85.22,,77
6584,1864-02-05T14:00:00,22.43,-84.85,,77
6584,1864-02-05T15:00:00,22.52,-84.75,,77
6584,1864-02-05T16:00:00,22.58,-84.65,,77
6584,1864-02-05T18:00:00,22.73,-84.45,,77
6584,1864-02-05T20:00:00,22.8,-84.3,,75.9
6584,1864-02-05T22:00:00,22.87,-84.13,,75.9
6584,1864-02-06T00:00:00,22.93,-83.98,,74.7
6584,1864-02-06T02:00:00,23,-83.45,,74.7
6584,1864-02-06T04:00:00,23.08,-82.9,,74.7
6584,1864-02-22T14:00:00,23.13,-82.1,,74.7
6584,1864-02-22T16:00:00,23.12,-81.82,,74.7
6584,1864-02-22T22:00:00,23.07,-80.98,,74.7
6584,1864-02-23T02:00:00,23.03,-80.43,,74.7
6584,1864-02-23T04:00:00,23.02,-80.15,,74.7
6584,1864-02-23T06:00:00,23,-79.88,,72.5
6584,1864-02-23T10:00:00,22.97,-79.33,,72.5
6584,1864-02-23T12:00:00,22.95,-79.07,,74.7
6584,1864-02-23T14:00:00,22.9,-78.82,,75.9
6584,1864-02-23T16:00:00,22.85,-78.57,,75.9
6584,1864-02-23T20:00:00,22.58,-77.98,,75.9
6584,1864-02-24T00:00:00,22.17,-77.28,,74.7
6584,1864-02-24T06:00:00,21.83,-76.87,,75.9
6584,1864-02-24T08:00:00,21.72,-76.72,,77
6584,1864-02-24T12:00:00,21.5,-76.43,,77
6584,1864-02-24T16:00:00,21.48,-76.32,,77
6584,1864-02-24T22:00:00,21.43,-76.17,,77
6584,1864-02-25T00:00:00,21.45,-76.12,,77
6584,1864-02-25T06:00:00,21.05,-74.93,,77
6584,1864-02-25T09:00:00,20.77,-74.53,,80.4
6584,1864-02-25T10:00:00,20.67,-74.4,,80.4
6584,1864-02-25T12:00:00,20.47,-74.13,,80.4
6584,1864-02-25T20:00:00,19.83,-73.92,,77
6584,1864-02-25T22:00:00,19.72,-74,,77
6584,1864-02-26T00:00:00,19.6,-74.07,,77
6584,1864-02-26T02:00:00,19.47,-74.2,,77
6584,1864-02-26T08:00:00,19.07,-74.62,,77
6584,1864-02-26T10:00:00,18.97,-74.77,,78.1
6584,1864-02-26T12:00:00,18.83,-74.9,,78.8
6584,1864-02-26T14:00:00,18.82,-74.88,,79.2
6584,1864-02-26T15:00:00,18.8,-74.88,,80.4
6584,1864-02-26T16:00:00,18.78,-74.87,,80.4
6584,1864-02-27T00:00:00,18.67,-74.82,,80.4
6584,1864-02-27T08:00:00,18.62,-75,,80.4
